id,clause,new-agent,protagonist,location,temporal,goal,causal:no_cause
1,"I began my illustrious career in journalism in the Bronx where I toiled as a hard boiled reporter for The Ram, the student newspaper at Fordham University.",0,0,0,0,0,0
2,And one day I'm walking toward the campus center.,0,0,1,1,1,0
3,"And out comes the elusive Dean McGowan, architect of a policy to replace Fordham's traditionally working to middle class students with wealthier, more prestigious ones.",1,0,0,0,0,1
4,So I whip out my notebook.,0,0,0,0,1,0
5,"And I go up to him and I say: Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate?",0,0,0,0,0,0
6,"And if so, wouldn't that be a betrayal of its mission?",0,0,0,0,0,0
7,And he stops.,0,1,0,0,1,0
8,And looks at me.,0,0,0,0,0,0
9,And he says: Listen up punk.,0,0,0,0,0,0
10,And right then there's a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan's face.,1,1,0,0,1,0
11,And and then runs away.,0,0,0,0,0,0
12,And the Dean is covered with cream.,0,0,0,0,0,0
13,So I give him a moment.,0,1,0,0,0,0
14,"And then I say: Dean McGowan, would you care to comment on this latest attack?",0,0,0,0,1,0
15,"And the Dean says: Yes, I would care to comment.",0,1,0,0,1,0
16,Fuck you.,0,0,0,0,1,0
17,So I race back to the newsroom with my scoop.,0,1,1,1,1,0
18,"And I, and I find the editor, Jim Dwyer, who's a senior.",1,0,0,0,0,0
19,And he will go on to win a Pulitzer Prize.,0,0,0,0,0,0
20,That is true.,0,0,0,0,0,0
21,And he's a big guy.,0,0,0,0,0,0
22,I pitch him my story.,0,0,0,0,0,0
23,I tell him what I've seen.,0,0,0,0,0,0
24,And he says: Dean McGowan?,0,1,0,0,0,0
25,That guy's a dick!,0,0,0,0,0,0
26,Write it up!,0,0,0,0,0,0
27,So I'm banging out my story.,0,1,1,1,1,0
28,And I know it's good.,0,0,0,0,0,0
29,And then I start to make it better by adding an element of embellishment.,0,0,0,0,1,0
30,Reporters call this making shit up.,0,0,0,0,0,0
31,And they recommend against crossing that line.,0,0,0,0,0,0
32,But I had just seen the line crossed between a high powered dean and assault with a pastry.,0,0,0,0,0,0
33,And I kind of liked it.,0,0,0,0,0,0
34,"So the first thing I did was, I gave the figure a name.",0,0,0,0,0,0
35,"I called him Pie Man, capital P, capital M. And I described him as a cape wearing, masked avenger, though in fact, he'd been capeless.",1,0,0,0,0,0
36,And I said that as he fled the scene he clicked his heels in rakish glee.,0,0,0,0,0,0
