id,clause
1,"<ANNOUNCER> Tonight, a story by Frederik Pohl: Tunnel Under the World."
2,"<NARRATOR> On the morning of June fifteenth, Guy Burckhardt woke up screaming."
3,It was more real than any dream he had ever had in his life.
4,"He could still hear and feel that sharp metal ripping explosion, that searing wave of heat."
5,He sat up.
6,"<GUY> Mary, Mary, Mary, where are you?"
7,"<MARY> Guy, what's wrong?"
8,You're trembling.
9,<GUY> Where were you?
10,<MARY> In the kitchen cooking breakfast.
11,What is it?
12,"<GUY> I don't know, a dream, I guess, an explosion."
13,<MARY> Did you say an explosion?
14,<GUY> Yes.
15,<MARY> But that's the dream I had.
16,<GUY> What?
17,<MARY> I dreamed there was a big explosion and then something sort of hit me on the head.
18,"<GUY> Holy smokes, maybe, maybe there really was some sort of explosion that started this dreaming."
19,"<MARY> Well, there will be an explosion down at your office if you don't hurry and get to work."
20,"<NARRATOR> Coming in on the bus, Burckhardt watched to see if there was any evidence of an explosion."
21,There wasn't.
22,"If anything, the town looked better than ever."
23,The only thing that seemed strange to him was the fact that none of the usual crowd was on the bus.
24,He was a little relieved when his old pal Henry Swanson finally got on.
25,<HENRY> Excuse me?
26,"<GUY> Ah, Henry."
27,"<HENRY> Pardon me, sir."
28,"<GUY> Henry, what's the matter with you?"
29,"It's me, Guy Burckhardt."
30,"<HENRY> Burckhardt, sorry, I don't believe we've met."
31,<GUY> What?
32,"Henry, for Pete's sake, it's me."
33,"<HENRY> If you'll excuse me, this is my stop."
34,"<GUY> Well I'll be, how do you like that?"
35,"<NARRATOR> Guy Burckhardt got off in front of the gigantic control chemical building, took the elevator to the ninety eighth floor where he had worked in the accounting department for twelve years."
36,It wasn't until he was almost at his floor that he realized the speaker was not playing the usual commercials.
37,"<1ST SPEAKER> Britons, are you happy with your present home freezer?"
38,Of course not.
39,Well the answer to your problems is a Feckle freezer.
40,A Feckle freezer is a better freezer.
41,Most wives would do anything for a Feckle freezer.
42,"Britons, are you happy with your present home freezer?"
43,"<GUY> Morning, Miss Horne."
44,"<MISS HORN> Good morning, Mr. Burckhardt."
45,"<GUY> Well, new hairdo I see?"
46,"<MISS HORN> Why, yes, you like it?"
47,<GUY> Makes a lot of difference in your appearance.
48,Mr. Barth in?
49,"<MISS HORN> Eh, no sir, he had an appointment with Mr. Dorchin of the human research institute."
50,<GUY> Today?
51,But today's the fifteenth of June.
52,He has to sign the quarterly statement.
53,<MISS HORN> He said he wouldn't be in.
54,"<GUY> Huh, that's mighty peculiar."
55,"<MISS HORN> Yes, sir."
56,"<GUY> Oh, by the way, Miss Horne, what the devil is a Feckle freezer?"
57,<MISS HORN> A Feckle freezer?
58,<GUY> There's some new copy on the elevator commercial.
59,"Uh, Dorchin must have landed another account, Feckle freezers."
60,"<MISS HORN> I really don't know, Mr. Burckhardt."
61,"<GUY> Huh, it's a funny day, can't quite put my finger on it, but there's something strange going on."
62,<NARRATOR> He couldn't shake the thought out of his mind.
63,It persisted all through the day until dinner.
64,He was still brooding as he and Mary got ready for bed.
65,"<MARY> Guy, dear?"
66,"<GUY> Hm, oh, no."
67,<MARY> Anything wrong?
68,<GUY> I don't know.
69,"<MARY> Well, I guess I'll get a good night's sleep."
70,Coming?
71,<GUY> I think I'll sit up and read for a while.
72,"<MARY> Ah, good night, darling."
73,"<GUY> Night, dear."
74,"<NARRATOR> At exactly midnight, Guy Burckhardt lapsed into a sudden deep sleep, and the following morning he woke up screaming."
75,<GUY> Ah!
76,"<MARY> Darling, what is it?"
77,What's wrong?
78,"<GUY> I, oh, I think a bad dream, I guess."
79,"<MARY> Oh, you gave me such a shock."
80,<GUY> I seem to be having a lot of nightmares lately.
81,<MARY> Really?
82,"<GUY> Yes, the one I had yesterday, this was the same, a big explosion and then nothing."
83,<MARY> You had a dream yesterday?
84,"<GUY> Well, of course I did."
85,You had the same sort of dream.
86,<MARY> I?
87,"Guy, you're mistaken."
88,I dont remember dreaming.
89,"<GUY> Well now, Mary, you told me."
90,"<MARY> Guy, you're mistaken."
91,<GUY> Mary.
92,"<MARY> Maybe you dreamed I had a dream, maybe."
93,"<GUY> Well, yes, I might have done that, I suppose."
94,Everything did seem sort of strange yesterday.
95,"<MARY> Oh, that's probably it."
96,You better get dressed here.
97,"Today's the fifteenth, that's when the quarterly statement."
98,<GUY> The fifteenth?
99,Yes.
100,"<GUY> Then it must have been a dream, because yesterday was the fifteenth."
101,"<NARRATOR> Guy Burckhardt got up, dressed, ate breakfast, and took the usual bus to work."
102,"Once again, everything seemed even brighter and newer than usual."
103,"And, once again, he was puzzled when he noticed none of the old crowd on the bus."
104,"<HENRY> Pardon me, please."
105,"<GUY> Well, look, don't shove so I, oh, morning Henry."
106,<HENRY> Morning.
107,"For god's sake, don't talk to me."
108,"<GUY> Well, what is it, you being followed or something?"
109,<HENRY> Don't you know?
110,I was sure you remembered.
